kind,threshold,pct,K,R_eq,act_fraction,n_seed,frac_activated,frac_peak_active,peak_active,t_peak,n_early,N,seed_x,seed_y,seed_z
loc,0.125,99,0.016996581258701744,7.670421197421994,0.01,100.0,0.9995,0.0486,486.0,383.0,1329.0,10000.0,-2.9891042709350586,-23.80552101135254,1.8283116817474365
loc,0.125,99,0.017841396707678307,7.486616292130617,0.01,100.0,0.9996,0.0504,504.0,354.0,1355.0,10000.0,-7.09150505065918,20.942893981933594,3.2856311798095703
loc,0.125,99,0.015679585967321465,7.986062499765675,0.01,100.0,0.9996,0.052,520.0,354.0,1403.0,10000.0,-3.3055531978607178,20.095239639282227,7.700734615325928
loc,0.125,99,0.0162975856373699,7.833184648611503,0.01,100.0,0.9995,0.0491,491.0,357.0,1369.0,10000.0,2.269907236099243,-22.937021255493164,4.104031562805176
loc,0.125,99,0.01657875911240696,7.7664757282514385,0.01,100.0,0.9998,0.0492,492.0,365.0,1366.0,10000.0,-3.6937530040740967,-22.851293563842773,-3.312788248062134
loc,0.125,95,0.011563250853612152,9.299509155432698,0.01,100.0,0.9995,0.0509,509.0,335.0,1403.0,10000.0,7.058287143707275,-20.48070526123047,-0.29879793524742126
loc,0.125,95,0.011480232398730824,9.333072943916907,0.01,100.0,0.9997,0.0485,485.0,361.0,1340.0,10000.0,-4.1283650398254395,22.61758041381836,3.235865354537964
loc,0.125,95,0.011430134563675098,9.353503829235331,0.01,100.0,0.9997,0.0512,512.0,360.0,1383.0,10000.0,-6.652754783630371,-21.104799270629883,-0.3232559263706207
loc,0.125,95,0.011419061369375899,9.35803783010792,0.01,100.0,0.9999,0.0527,527.0,315.0,1420.0,10000.0,3.8730826377868652,19.803070068359375,-5.407337188720703
loc,0.125,95,0.01145941995470441,9.34154439985213,0.01,100.0,0.9997,0.0521,521.0,359.0,1405.0,10000.0,-0.44567352533340454,-20.418787002563477,7.189228057861328
loc,0.125,90,0.009880416121476538,10.060333601206109,0.01,100.0,0.9998,0.0496,496.0,363.0,1353.0,10000.0,2.967465400695801,-21.864459991455078,5.154096603393555
loc,0.125,90,0.009871017405250189,10.065121948747864,0.01,100.0,1.0,0.0474,474.0,344.0,1367.0,10000.0,-2.778642177581787,23.182727813720703,-0.10755400359630585
loc,0.125,90,0.00988609803393378,10.057442159595062,0.01,100.0,0.9996,0.0607,607.0,339.0,1467.0,10000.0,-3.716242551803589,15.02353572845459,-9.66262435913086
loc,0.125,90,0.009941319860472274,10.029469830404627,0.01,100.0,0.9998,0.0514,514.0,355.0,1378.0,10000.0,-5.714235782623291,-21.074216842651367,-3.6020350456237793
loc,0.125,90,0.009871236208944008,10.06501039746804,0.01,100.0,0.9995,0.0591,591.0,366.0,1469.0,10000.0,-6.542728424072266,15.50649642944336,8.661463737487793
loc,0.125,80,0.007286238427918625,11.715162329403439,0.01,100.0,0.9999,0.0532,532.0,351.0,1421.0,10000.0,7.5239763259887695,-18.683067321777344,3.467453718185425
loc,0.125,80,0.0073350747327498855,11.676097920842496,0.01,100.0,1.0,0.0472,472.0,343.0,1403.0,10000.0,-2.2952704429626465,23.111186981201172,-0.9314823150634766
loc,0.125,80,0.007250043818567444,11.744368899215234,0.01,100.0,0.9996,0.0639,639.0,342.0,1511.0,10000.0,-0.4760570526123047,-12.836081504821777,-10.697080612182617
loc,0.125,80,0.007206355743221668,11.779914853212036,0.01,100.0,0.9992,0.0569,569.0,346.0,1443.0,10000.0,-8.490437507629395,-17.696815490722656,0.12023742496967316
loc,0.125,80,0.007296034371482471,11.70729506824888,0.01,100.0,0.9995,0.0592,592.0,344.0,1444.0,10000.0,-7.746563911437988,15.663700103759766,7.556905746459961
loc,0.125,70,0.005161441948447148,13.919206452751876,0.01,100.0,0.9988,0.0621,621.0,360.0,1439.0,10000.0,-1.336411476135254,14.147193908691406,10.691513061523438
loc,0.125,70,0.005167011785368747,13.911702249406634,0.01,100.0,0.9995,0.0537,537.0,359.0,1436.0,10000.0,4.8383588790893555,-18.29874038696289,-7.0376458168029785
loc,0.125,70,0.005119262077610869,13.976432075563704,0.01,100.0,0.9986,0.0657,657.0,347.0,1481.0,10000.0,1.1491413116455078,11.95081615447998,-10.803515434265137
loc,0.125,70,0.005175814803852267,13.899866713063695,0.01,100.0,0.9997,0.0577,577.0,363.0,1433.0,10000.0,-1.99519681930542,-17.07717514038086,8.562933921813965
loc,0.125,70,0.005199223683404647,13.868540172914587,0.01,100.0,0.9991,0.0589,589.0,354.0,1456.0,10000.0,-10.369020462036133,15.451711654663086,-1.7501461505889893
loc,0.125,60,0.003368903758836221,17.228826509588508,0.01,100.0,0.9995,0.0642,642.0,339.0,1483.0,10000.0,-9.12207317352295,-13.412315368652344,-4.031820774078369
loc,0.125,60,0.003388080596323699,17.179998974368086,0.01,100.0,0.9995,0.0607,607.0,327.0,1483.0,10000.0,4.466822147369385,14.552814483642578,9.159209251403809
loc,0.125,60,0.0033907120638789474,17.17333114415416,0.01,100.0,0.9988,0.0669,669.0,335.0,1468.0,10000.0,-6.425036907196045,11.24708366394043,-9.181042671203613
loc,0.125,60,0.0033691969076738502,17.22807696593319,0.01,100.0,0.9972,0.0747,747.0,349.0,1515.0,10000.0,8.528107643127441,-6.4859700202941895,7.357204914093018
loc,0.125,60,0.003393461384902232,17.166372973416568,0.01,100.0,0.9965,0.0774,774.0,352.0,1557.0,10000.0,2.853271961212158,-4.064363956451416,-11.359827041625977
loc,0.125,50,0.0021897910129894866,21.369711815780533,0.01,100.0,0.9981,0.0683,683.0,337.0,1505.0,10000.0,10.266562461853027,11.362340927124023,-2.529785633087158
loc,0.125,50,0.0022065780094414483,21.288269381631174,0.01,100.0,0.9997,0.0571,571.0,368.0,1456.0,10000.0,-6.449986457824707,-17.092626571655273,5.644139289855957
