R,curvature,threshold,frac_mean,frac_std,neigh_mean,neigh_std,n_seeds
10,0.01,0.15,0.4464517,0.08860633866346382,5.466628783333334,0.13510274591120966,10
14,0.005102,0.15,0.7124590000000001,0.06542880962627329,5.492868733333334,0.16993148299987812,10
18,0.003086,0.15,0.8254473000000001,0.06624102507602235,5.5131637666666675,0.17684407124321933,10
22,0.002066,0.15,0.9007977999999998,0.041851081753708066,5.54762935,0.18349002639905598,10
26,0.001479,0.15,0.9303809,0.01381928387314867,5.586578400000001,0.1708466498306179,10
30,0.001111,0.15,0.9473910999999999,0.011387934779600914,5.623751566666668,0.17898025956980126,10
34,0.000865,0.15,0.9635301000000001,0.008522439445370102,5.65898985,0.1752583585958823,10
38,0.000693,0.15,0.9747327,0.006833149412972042,5.657411116666668,0.1616622321091466,10
42,0.000567,0.15,0.9835461000000001,0.00469871799182145,5.692764283333333,0.15271483351415913,10
46,0.000473,0.15,0.9870134,0.003108491066596642,5.697707649999999,0.14759772357883807,10
50,0.0004,0.15,0.9899613,0.0035644668932861816,5.7037208,0.13396238647127026,10
100,0.0001,0.15,0.9989316,0.0004335646049513959,5.7395983333333325,0.059589710971071394,10
200,2.5e-05,0.15,0.9999632,3.292010530561794e-05,5.818676316666666,0.03550576901107078,10
300,1.1e-05,0.15,1.0,0.0,5.866009216666667,0.011687495720063305,10
6,0.027778,0.175,0.23750010000000002,0.059553487363974845,5.316685299999999,0.12023548326122793,10
10,0.01,0.175,0.3825806,0.12035509476470956,5.466628783333334,0.13510274591120966,10
14,0.005102,0.175,0.6685247000000001,0.045363767272154784,5.492868733333334,0.16993148299987812,10
18,0.003086,0.175,0.7803180999999999,0.04758699135840009,5.5131637666666675,0.17684407124321933,10
22,0.002066,0.175,0.8570478000000001,0.042489631610547064,5.54762935,0.18349002639905598,10
26,0.001479,0.175,0.898381,0.024252092093031644,5.586578400000001,0.1708466498306179,10
30,0.001111,0.175,0.9265903999999999,0.01825516060491146,5.623751566666668,0.17898025956980126,10
34,0.000865,0.175,0.9462139,0.011447695832689541,5.65898985,0.1752583585958823,10
38,0.000693,0.175,0.9622995000000001,0.009736545545863111,5.657411116666668,0.1616622321091466,10
42,0.000567,0.175,0.9697191000000001,0.011281631210364336,5.692764283333333,0.15271483351415913,10
46,0.000473,0.175,0.9790146999999999,0.004398073594705354,5.697707649999999,0.14759772357883807,10
50,0.0004,0.175,0.9820851000000002,0.0030677870580164733,5.7037208,0.13396238647127026,10
100,0.0001,0.175,0.9978568000000001,0.0006804989672618596,5.7395983333333325,0.059589710971071394,10
200,2.5e-05,0.175,0.9997522,0.00011143986918713558,5.818676316666666,0.03550576901107078,10
300,1.1e-05,0.175,1.0,0.0,5.866009216666667,0.011687495720063305,10
6,0.027778,0.2,0.23750010000000002,0.059553487363974845,5.316685299999999,0.12023548326122793,10
10,0.01,0.2,0.3070965,0.11364138440848817,5.466628783333334,0.13510274591120966,10
14,0.005102,0.2,0.5655737999999999,0.07138624106584625,5.492868733333334,0.16993148299987812,10
18,0.003086,0.2,0.7047714,0.04521124575737029,5.5131637666666675,0.17684407124321933,10
22,0.002066,0.2,0.8,0.052395974915381914,5.54762935,0.18349002639905598,10
26,0.001479,0.2,0.8320951999999998,0.029120117283799218,5.586578400000001,0.1708466498306179,10
30,0.001111,0.2,0.8847748000000001,0.018971226861281866,5.623751566666668,0.17898025956980126,10
34,0.000865,0.2,0.9084633,0.011447538027890529,5.65898985,0.1752583585958823,10
38,0.000693,0.2,0.9322638,0.01723624197117486,5.657411116666668,0.1616622321091466,10
42,0.000567,0.2,0.9447283000000001,0.005787032996277111,5.692764283333333,0.15271483351415913,10
46,0.000473,0.2,0.9638382,0.006305625280475988,5.697707649999999,0.14759772357883807,10
50,0.0004,0.2,0.9688032,0.004165982631851564,5.7037208,0.13396238647127026,10
100,0.0001,0.2,0.9945172,0.0012003388225367466,5.7395983333333325,0.059589710971071394,10
200,2.5e-05,0.2,0.9992117,0.00020097874403915983,5.818676316666666,0.03550576901107078,10
300,1.1e-05,0.2,1.0,0.0,5.866009216666667,0.011687495720063305,10
6,0.027778,0.3,0.1964288,0.029160699099225234,5.316685299999999,0.12023548326122793,10
10,0.01,0.3,0.2064517,0.046721662753540304,5.466628783333334,0.13510274591120966,10
14,0.005102,0.3,0.28262289999999995,0.07563615292592117,5.492868733333334,0.16993148299987812,10
18,0.003086,0.3,0.4707752,0.07661929742680872,5.5131637666666675,0.17684407124321933,10
22,0.002066,0.3,0.5623670000000001,0.06693529509575315,5.54762935,0.18349002639905598,10
26,0.001479,0.3,0.6406668000000001,0.047317522873079956,5.586578400000001,0.1708466498306179,10
30,0.001111,0.3,0.6939957,0.025250551052512803,5.623751566666668,0.17898025956980126,10
34,0.000865,0.3,0.7359131999999999,0.02706412901404528,5.65898985,0.1752583585958823,10
38,0.000693,0.3,0.7819072,0.011470057558704765,5.657411116666668,0.1616622321091466,10
42,0.000567,0.3,0.8253919999999999,0.016295081739251538,5.692764283333333,0.15271483351415913,10
46,0.000473,0.3,0.8519466999999998,0.008978357942544082,5.697707649999999,0.14759772357883807,10
50,0.0004,0.3,0.8615958999999999,0.011312453054046243,5.7037208,0.13396238647127026,10
100,0.0001,0.3,0.9574877,0.0018313284219082346,5.7395983333333325,0.059589710971071394,10
200,2.5e-05,0.3,0.9835259000000001,0.001500352362317315,5.818676316666666,0.03550576901107078,10
300,1.1e-05,0.3,0.9999971999999999,4.894441291446195e-06,5.866009216666667,0.011687495720063305,10
