kind,threshold,pct,K,R_eq,act_fraction,n_seed,frac_activated,frac_peak_active,peak_active,t_peak,n_early,N,seed_x,seed_y,seed_z
loc,0.175,70,0.00528591359277723,13.754346794751484,0.01,100.0,0.9651,0.0507,507.0,333.0,959.0,10000.0,2.3602821826934814,-17.31354522705078,-8.88182544708252
loc,0.175,60,0.003555449073853685,16.770760958324196,0.01,100.0,0.9068,0.0545,545.0,417.0,929.0,10000.0,10.117992401123047,-12.855548858642578,2.198098659515381
loc,0.175,50,0.002387144742889361,20.467303215490702,0.01,100.0,0.9344,0.0552,552.0,354.0,1073.0,10000.0,9.549781799316406,-11.073118209838867,-4.782415866851807
loc,0.175,40,0.0017694950365717142,23.77252570175814,0.01,100.0,0.867,0.0656,656.0,383.0,731.0,10000.0,11.422552108764648,1.882009506225586,-2.3032290935516357
loc,0.175,30,0.0013822568123053058,26.897110706811716,0.01,100.0,0.9189,0.0733,733.0,399.0,866.0,10000.0,4.852580547332764,-2.0938796997070312,10.623498916625977
loc,0.175,20,0.00103923252672307,31.020131491405227,0.01,100.0,0.924,0.0671,671.0,388.0,978.0,10000.0,6.667566299438477,4.436899185180664,-9.423171043395996
loc,0.175,10,0.000661866887491652,38.8700118323048,0.01,100.0,0.9276,0.0738,738.0,384.0,924.0,10000.0,-11.259193420410156,0.8431373834609985,0.3250287175178528
loc,0.175,5,0.00040131755970168907,49.91785539507252,0.01,100.0,0.9568,0.0712,712.0,360.0,1018.0,10000.0,6.5259528160095215,-4.865880012512207,-9.537410736083984
sweep,0.15,99,0.017304422151675974,7.6018876938403706,0.004,40.0,0.9975,0.0477,477.0,349.0,1022.0,10000.0,-2.2061195373535156,-22.589597702026367,4.889047622680664
sweep,0.15,99,0.017304422151675974,7.6018876938403706,0.006,60.0,0.9977,0.0477,477.0,349.0,1109.0,10000.0,-2.2061195373535156,-22.589597702026367,4.889047622680664
sweep,0.15,99,0.017304422151675974,7.6018876938403706,0.008,80.0,0.9975,0.048,480.0,374.0,1200.0,10000.0,-2.2061195373535156,-22.589597702026367,4.889047622680664
sweep,0.15,99,0.017304422151675974,7.6018876938403706,0.01,100.0,0.9975,0.0473,473.0,344.0,1269.0,10000.0,-2.2061195373535156,-22.589597702026367,4.889047622680664
sweep,0.15,99,0.017304422151675974,7.6018876938403706,0.0125,125.0,0.9973,0.048,480.0,369.0,1340.0,10000.0,-2.2061195373535156,-22.589597702026367,4.889047622680664
sweep,0.15,99,0.017304422151675974,7.6018876938403706,0.015,150.0,0.9974,0.0478,478.0,370.0,1410.0,10000.0,-2.2061195373535156,-22.589597702026367,4.889047622680664
sweep,0.15,99,0.017304422151675974,7.6018876938403706,0.02,200.0,0.997,0.0476,476.0,365.0,1540.0,10000.0,-2.2061195373535156,-22.589597702026367,4.889047622680664
