x,y,z,K,activation_time,speed
0.3766,21.1217,6.6439,0.008384,279,0.16609
2.1423,21.3353,5.5127,0.009105,271,0.23013
4.5449,21.2757,-1.8299,0.009301,255,0.18383
3.8243,21.2205,4.1693,0.011301,263,0.09786
3.9479,21.3758,-2.6618,0.006857,255,0.07949
-4.7824,21.7158,-3.1190,0.007658,288,0.18883
-3.3583,21.3841,6.2463,0.011217,294,0.15399
-5.3026,21.1977,5.3507,0.013210,302,0.12012
3.7144,21.6944,3.1772,0.007351,266,0.12335
3.5397,22.0731,2.1510,0.011063,266,0.24013
3.0329,21.8079,-2.7638,0.006729,259,0.09357
0.8036,21.3348,-5.0530,0.003214,266,0.18331
5.0895,21.1537,1.5935,0.008278,259,0.22224
5.1468,21.0515,-1.1171,0.010251,255,0.13510
-0.5587,21.5282,6.3352,0.009757,283,0.17380
-0.9469,20.3031,7.7365,0.009940,283,0.24006
4.8142,21.4409,0.5039,0.012766,259,0.22009
1.3117,20.7404,-5.7216,0.010690,263,0.14307
-7.4784,20.5194,-1.7117,0.007668,300,0.12149
-4.4665,21.3355,-4.1076,0.011155,286,0.15657
-0.2926,21.4879,-5.0786,0.007850,270,0.20656
2.3126,21.6666,-3.7519,0.006132,261,0.21100
-4.3494,21.3335,5.8244,0.007640,298,0.13021
-3.4343,21.5075,-4.4355,0.008911,282,0.14359
1.1770,20.5952,6.9692,0.005638,275,0.21706
-6.6384,20.9904,-2.2307,0.007886,296,0.15287
-7.0668,21.0071,3.1728,0.009394,308,0.12200
-7.1273,21.2369,2.0956,0.018881,306,0.13718
4.2181,20.8242,-3.4904,0.007650,254,0.27575
-5.1096,20.6573,6.2558,0.007663,299,0.12926
-1.3320,21.5927,-4.9129,0.004826,274,0.18373
-6.4089,20.6436,-3.2938,0.008673,294,0.11531
-6.0349,20.4589,5.7410,0.011069,303,0.16794
2.3608,20.5320,-5.5107,0.006067,259,0.16998
-2.3841,21.5965,-4.7038,0.008911,278,0.16961
-6.1835,20.9557,4.7999,0.007541,306,0.08619
4.8606,20.6955,-2.7921,0.007011,251,0.07818
-0.9257,20.9921,-5.7782,0.007503,271,0.18222
-4.1198,20.8591,-5.0594,0.005418,283,0.16010
5.9145,20.4148,-0.9724,0.009965,251,0.20620
3.0030,20.7242,5.7770,0.012165,267,0.23379
4.5756,21.0202,3.4201,0.009177,262,0.12157
5.3829,20.9823,-0.1867,0.009049,255,0.23781
-6.9988,20.6520,4.2030,0.019204,309,0.10499
-3.4723,19.4448,8.1988,0.010560,291,0.10849
5.4230,19.6916,4.6051,0.007991,255,0.08508
-7.7650,20.5600,2.5226,0.014132,310,0.10260
4.6501,20.4937,4.3983,0.006104,259,0.08764
-6.8852,21.2139,-1.1657,0.012768,297,0.18513
-3.0743,20.9972,-5.3672,0.011946,279,0.15771
-1.3644,21.1017,6.9288,0.010259,286,0.17250
2.8638,20.9690,-4.5712,0.012324,258,0.26222
-7.2123,20.2823,-2.7698,0.007149,298,0.07816
-3.1041,20.7802,7.0790,0.014151,291,0.13076
-4.1275,20.7669,6.6953,0.007937,295,0.11745
3.3270,21.2749,-3.6423,0.013611,258,0.17987
-3.8500,20.1360,7.4887,0.011723,295,0.10411
2.9227,20.0626,6.6295,0.006284,267,0.23399
-5.1279,20.6400,-4.6866,0.009486,287,0.16128
-2.0074,21.0439,-5.6102,0.008020,275,0.16244
-2.6701,20.3976,-6.2370,0.005390,275,0.23952
-8.3303,19.8383,2.9024,0.011696,314,0.06324
3.3773,20.2097,-5.2651,0.003105,255,0.19977
3.8542,20.6506,5.1090,0.009573,263,0.20977
0.6821,20.2211,-6.5144,0.005112,263,0.23115
0.2012,20.4136,7.4677,0.013878,279,0.20880
5.6780,20.7366,0.8161,0.010552,255,0.23156
-7.0429,19.7533,-3.8544,0.004520,294,0.19075
-7.6828,20.6494,-0.6514,0.007116,301,0.19751
-7.8263,20.6520,1.4847,0.009138,307,0.17750
-4.8508,20.0510,7.0930,0.014635,299,0.09697
-7.7113,20.2666,3.5589,0.011155,312,0.06805
5.6943,19.9814,-2.8818,0.014924,247,0.09701
-7.7969,20.6934,0.4174,0.011937,303,0.11789
1.9814,20.0079,7.2157,0.008571,271,0.23163
4.4314,21.4555,2.3991,0.006802,263,0.12636
-8.0260,19.7761,-2.1923,0.014323,302,0.07253
-1.5761,20.4153,-6.4463,0.005856,271,0.24211
5.2633,20.7464,2.6345,0.009432,259,0.14036
-5.8168,19.8866,6.6198,0.012360,303,0.10317
1.7876,20.0307,-6.3835,0.006256,259,0.22667
3.8729,20.5450,-4.3568,0.004955,254,0.25349
-2.3475,21.3175,6.6248,0.013668,290,0.18575
6.2211,19.8925,-1.8294,0.008181,247,0.21789
5.4263,20.5566,-1.9618,0.003625,251,0.23165
-8.4057,19.9850,-0.1315,0.005798,305,0.26328
-8.4708,20.0000,0.9244,0.013381,307,0.13002
-2.0362,20.6159,7.4140,0.006419,287,0.13808
-3.3298,19.6873,-6.8089,0.002817,275,0.21041
-3.7428,20.3192,-5.9704,0.008086,279,0.23780
4.6492,19.8916,5.3216,0.007414,259,0.20550
-2.2350,19.7625,-7.0657,0.009961,271,0.22376
-0.0899,19.7131,8.1485,0.010656,279,0.16534
3.8586,19.4118,-5.8688,0.006790,251,0.24103
-6.6965,19.6199,6.0436,0.006353,307,0.08772
-8.4562,19.9094,1.9744,0.010782,311,0.15503
5.3712,20.2569,3.6401,0.004877,258,0.12900
0.9894,19.8739,7.7428,0.007456,275,0.22383
-1.1064,19.7361,-7.2039,0.009938,267,0.22111
-8.9295,19.2056,-0.6775,0.012186,307,0.18484
-6.0812,20.3030,-4.2363,0.002293,291,0.10919
-2.8241,20.1224,7.8106,0.013630,291,0.12269
-8.2461,19.9051,-1.1767,0.009263,304,0.09289
6.4585,19.9440,1.0152,0.003415,251,0.24047
2.8429,19.7710,-6.1658,0.008917,255,0.24004
4.5666,19.2263,6.1801,0.004200,259,0.23658
6.4398,19.3376,-2.6042,0.005578,243,0.06224
-0.4518,20.3492,-6.5427,0.005793,267,0.23886
0.0323,19.6367,-7.2286,0.005411,263,0.22047
-4.7742,20.1248,-5.6226,0.008174,283,0.22873
1.1604,19.4834,-7.1598,0.006875,259,0.21195
5.9033,20.4019,1.8394,0.010368,255,0.24022
-4.5000,19.3922,7.8654,0.009979,295,0.12329
-6.5970,19.5551,-4.7362,0.008113,291,0.12237
0.7733,19.1085,8.4157,0.009363,275,0.22282
-8.7176,19.0974,-1.7375,0.008536,303,0.18747
-6.8823,20.1669,5.1435,0.010596,307,0.24429
-9.4821,18.4281,-0.1496,0.009698,311,0.11998
