K,R_eq,seed_x,seed_y,seed_z,act_fraction,n_seed,frac_activated,n_early,N
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.002,20.0,0.9975,896.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.004,40.0,0.9975,1022.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.006,60.0,0.9977,1109.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.008,80.0,0.9975,1200.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.01,100.0,0.9975,1269.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.0125,125.0,0.9973,1340.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.015,150.0,0.9974,1410.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.02,200.0,0.997,1540.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.025,250.0,0.9977,1656.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.03,300.0,0.9972,1749.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.04,400.0,0.9976,1938.0,10000.0
0.017304422151675974,7.6018876938403706,-2.2061195373535156,-22.589597702026367,4.889047622680664,0.05,500.0,0.998,2119.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.002,20.0,0.9984,955.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.004,40.0,0.9962,1072.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.006,60.0,0.9966,1146.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.008,80.0,0.9977,1231.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.01,100.0,0.9973,1303.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.0125,125.0,0.9984,1387.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.015,150.0,0.9978,1464.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.02,200.0,0.9975,1586.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.025,250.0,0.998,1696.0,10000.0
